Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Selection Sort,ordem-decrescente,7470,58257,0,27896715,4088
Selection Sort,ordem-decrescente,7480,58198,0,27971460,4105
Selection Sort,ordem-decrescente,7490,58010,0,28046305,4102
Selection Sort,ordem-decrescente,7500,57472,0,28121250,4102
Selection Sort,ordem-decrescente,7510,62162,0,28196295,4104
Selection Sort,ordem-decrescente,7520,59443,0,28271440,4112
Selection Sort,ordem-decrescente,7530,58122,0,28346685,4118
Selection Sort,ordem-decrescente,7540,60310,0,28422030,4126
Selection Sort,ordem-decrescente,7550,58762,0,28497475,4149
Selection Sort,ordem-decrescente,7560,59043,0,28573020,4146
Selection Sort,ordem-decrescente,7570,63000,0,28648665,4148
Selection Sort,ordem-decrescente,7580,62787,0,28724410,4151
Selection Sort,ordem-decrescente,7590,63754,0,28800255,4161
Selection Sort,ordem-decrescente,7600,59719,0,28876200,4161
Selection Sort,ordem-decrescente,7610,60247,0,28952245,4163
Selection Sort,ordem-decrescente,7620,62294,0,29028390,4164
Selection Sort,ordem-decrescente,7630,59851,0,29104635,4189
Selection Sort,ordem-decrescente,7640,64322,0,29180980,4192
Selection Sort,ordem-decrescente,7650,61004,1,29257425,4189
Selection Sort,ordem-decrescente,7660,61518,0,29333970,4197
Selection Sort,ordem-decrescente,7670,61286,0,29410615,4209
Selection Sort,ordem-decrescente,7680,63474,0,29487360,4217
Selection Sort,ordem-decrescente,7690,61931,0,29564205,4207
Selection Sort,ordem-decrescente,7700,62562,0,29641150,4221
Selection Sort,ordem-decrescente,7710,63888,0,29718195,4216
Selection Sort,ordem-decrescente,7720,62426,0,29795340,4231
Selection Sort,ordem-decrescente,7730,61700,0,29872585,4234
Selection Sort,ordem-decrescente,7740,61902,0,29949930,4240
Selection Sort,ordem-decrescente,7750,62342,0,30027375,4246
Selection Sort,ordem-decrescente,7760,64111,0,30104920,4251
Selection Sort,ordem-decrescente,7770,62794,0,30182565,4256
Selection Sort,ordem-decrescente,7780,63570,0,30260310,4259
Selection Sort,ordem-decrescente,7790,64445,0,30338155,4277
Selection Sort,ordem-decrescente,7800,63049,0,30416100,4282
Selection Sort,ordem-decrescente,7810,63832,0,30494145,4289
Selection Sort,ordem-decrescente,7820,63814,0,30572290,4289
Selection Sort,ordem-decrescente,7830,63508,0,30650535,4297
Selection Sort,ordem-decrescente,7840,63600,0,30728880,4305
Selection Sort,ordem-decrescente,7850,65710,0,30807325,4314
Selection Sort,ordem-decrescente,7860,63679,0,30885870,4315
Selection Sort,ordem-decrescente,7870,65505,0,30964515,4324
Selection Sort,ordem-decrescente,7880,64615,0,31043260,4329
Selection Sort,ordem-decrescente,7890,63749,0,31122105,4329
Selection Sort,ordem-decrescente,7900,64584,0,31201050,4335
Selection Sort,ordem-decrescente,7910,63780,0,31280095,4341
Selection Sort,ordem-decrescente,7920,67253,0,31359240,4352
Selection Sort,ordem-decrescente,7930,65015,0,31438485,4349
Selection Sort,ordem-decrescente,7940,68571,0,31517830,4361
Selection Sort,ordem-decrescente,7950,69279,0,31597275,4366
Selection Sort,ordem-decrescente,7960,66765,0,31676820,4373
Selection Sort,ordem-decrescente,7970,65555,1,31756465,4381
Selection Sort,ordem-decrescente,7980,66467,0,31836210,4385
Selection Sort,ordem-decrescente,7990,67047,0,31916055,4392
Selection Sort,ordem-decrescente,8000,66240,0,31996000,4386
Selection Sort,ordem-decrescente,8010,66984,0,32076045,4381
Selection Sort,ordem-decrescente,8020,68416,0,32156190,4394
Selection Sort,ordem-decrescente,8030,69236,1,32236435,4404
Selection Sort,ordem-decrescente,8040,72653,0,32316780,4408
Selection Sort,ordem-decrescente,8050,66860,0,32397225,4413
Selection Sort,ordem-decrescente,8060,67114,0,32477770,4422
Selection Sort,ordem-decrescente,8070,69938,0,32558415,4434
Selection Sort,ordem-decrescente,8080,67314,0,32639160,4436
Selection Sort,ordem-decrescente,8090,67551,1,32720005,4438
Selection Sort,ordem-decrescente,8100,67837,0,32800950,4446
Selection Sort,ordem-decrescente,8110,67387,0,32881995,4441
Selection Sort,ordem-decrescente,8120,69504,0,32963140,4452
Selection Sort,ordem-decrescente,8130,68088,0,33044385,4461
Selection Sort,ordem-decrescente,8140,69003,0,33125730,4473
Selection Sort,ordem-decrescente,8150,69870,1,33207175,4469
Selection Sort,ordem-decrescente,8160,71032,0,33288720,4471
Selection Sort,ordem-decrescente,8170,69191,0,33370365,4475
Selection Sort,ordem-decrescente,8180,69769,0,33452110,4478
Selection Sort,ordem-decrescente,8190,69416,0,33533955,4487
Selection Sort,ordem-decrescente,8200,69363,0,33615900,4505
Selection Sort,ordem-decrescente,8210,69932,1,33697945,4513
Selection Sort,ordem-decrescente,8220,70977,0,33780090,4522
Selection Sort,ordem-decrescente,8230,70669,0,33862335,4511
Selection Sort,ordem-decrescente,8240,71627,0,33944680,4523
Selection Sort,ordem-decrescente,8250,70654,0,34027125,4529
Selection Sort,ordem-decrescente,8260,70939,0,34109670,4538
Selection Sort,ordem-decrescente,8270,71766,1,34192315,4533
Selection Sort,ordem-decrescente,8280,71745,0,34275060,4553
Selection Sort,ordem-decrescente,8290,71483,0,34357905,4560
Selection Sort,ordem-decrescente,8300,71983,0,34440850,4558
Selection Sort,ordem-decrescente,8310,72267,0,34523895,4559
Selection Sort,ordem-decrescente,8320,72847,0,34607040,4571
Selection Sort,ordem-decrescente,8330,73209,1,34690285,4569
Selection Sort,ordem-decrescente,8340,80554,0,34773630,4576
Selection Sort,ordem-decrescente,8350,73249,0,34857075,4585
Selection Sort,ordem-decrescente,8360,73851,0,34940620,4577
