Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Aleatorio,Aleatorio,1620,188,0,60485,8176
Quick Sort Pivo Aleatorio,Aleatorio,1630,199,0,54609,9921
Quick Sort Pivo Aleatorio,Aleatorio,1640,203,0,50789,7010
Quick Sort Pivo Aleatorio,Aleatorio,1650,253,0,51194,9518
Quick Sort Pivo Aleatorio,Aleatorio,1660,229,0,57019,7554
Quick Sort Pivo Aleatorio,Aleatorio,1670,261,0,61291,8093
Quick Sort Pivo Aleatorio,Aleatorio,1680,221,0,61087,8611
Quick Sort Pivo Aleatorio,Aleatorio,1690,205,0,56941,11612
Quick Sort Pivo Aleatorio,Aleatorio,1700,277,0,55735,8886
Quick Sort Pivo Aleatorio,Aleatorio,1710,208,0,61858,9602
Quick Sort Pivo Aleatorio,Aleatorio,1720,213,0,63726,7707
Quick Sort Pivo Aleatorio,Aleatorio,1730,202,0,60126,11769
Quick Sort Pivo Aleatorio,Aleatorio,1740,224,0,61632,8441
Quick Sort Pivo Aleatorio,Aleatorio,1750,250,0,63204,8714
Quick Sort Pivo Aleatorio,Aleatorio,1760,309,0,60096,10121
Quick Sort Pivo Aleatorio,Aleatorio,1770,223,0,69169,7871
Quick Sort Pivo Aleatorio,Aleatorio,1780,210,0,61822,8677
Quick Sort Pivo Aleatorio,Aleatorio,1790,230,0,72795,9338
Quick Sort Pivo Aleatorio,Aleatorio,1800,229,0,69412,9836
Quick Sort Pivo Aleatorio,Aleatorio,1810,267,0,72105,8423
Quick Sort Pivo Aleatorio,Aleatorio,1820,218,0,71151,10857
Quick Sort Pivo Aleatorio,Aleatorio,1830,226,0,69986,8905
Quick Sort Pivo Aleatorio,Aleatorio,1840,253,0,65091,8224
Quick Sort Pivo Aleatorio,Aleatorio,1850,226,0,59945,10002
Quick Sort Pivo Aleatorio,Aleatorio,1860,250,0,67844,9801
Quick Sort Pivo Aleatorio,Aleatorio,1870,244,0,71991,9586
Quick Sort Pivo Aleatorio,Aleatorio,1880,234,0,67964,8468
Quick Sort Pivo Aleatorio,Aleatorio,1890,227,0,75230,8780
Quick Sort Pivo Aleatorio,Aleatorio,1900,249,0,68995,9910
Quick Sort Pivo Aleatorio,Aleatorio,1910,227,0,69762,11326
Quick Sort Pivo Aleatorio,Aleatorio,1920,248,0,69486,10498
Quick Sort Pivo Aleatorio,Aleatorio,1930,244,0,62763,8542
Quick Sort Pivo Aleatorio,Aleatorio,1940,253,0,72132,10628
Quick Sort Pivo Aleatorio,Aleatorio,1950,245,0,66072,8706
Quick Sort Pivo Aleatorio,Aleatorio,1960,252,0,76172,10016
Quick Sort Pivo Aleatorio,Aleatorio,1970,278,0,66946,10213
Quick Sort Pivo Aleatorio,Aleatorio,1980,249,0,77671,9911
Quick Sort Pivo Aleatorio,Aleatorio,1990,262,0,66421,12089
Quick Sort Pivo Aleatorio,Aleatorio,2000,256,0,72623,11382
Quick Sort Pivo Aleatorio,Aleatorio,2010,260,0,81210,10575
Quick Sort Pivo Aleatorio,Aleatorio,2020,247,0,73864,9231
Quick Sort Pivo Aleatorio,Aleatorio,2030,288,0,77209,11267
Quick Sort Pivo Aleatorio,Aleatorio,2040,256,0,83094,9495
Quick Sort Pivo Aleatorio,Aleatorio,2050,271,0,85662,9597
Quick Sort Pivo Aleatorio,Aleatorio,2060,281,0,76980,10207
Quick Sort Pivo Aleatorio,Aleatorio,2070,284,0,81639,11243
Quick Sort Pivo Aleatorio,Aleatorio,2080,264,0,73943,10875
Quick Sort Pivo Aleatorio,Aleatorio,2090,270,0,76883,10024
Quick Sort Pivo Aleatorio,Aleatorio,2100,286,0,79610,10794
Quick Sort Pivo Aleatorio,Aleatorio,2110,263,0,75878,11116
Quick Sort Pivo Aleatorio,Aleatorio,2120,291,0,75584,12430
Quick Sort Pivo Aleatorio,Aleatorio,2130,306,0,82081,10589
Quick Sort Pivo Aleatorio,Aleatorio,2140,355,0,81269,10302
