Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Fixo,aleatorio,1950,228,0,29024,18069
Quick Sort Pivo Fixo,aleatorio,1960,201,0,23611,12122
Quick Sort Pivo Fixo,aleatorio,1970,226,0,22848,12653
Quick Sort Pivo Fixo,aleatorio,1980,210,0,24733,13115
Quick Sort Pivo Fixo,aleatorio,1990,165,0,22235,12579
Quick Sort Pivo Fixo,aleatorio,2000,175,0,26430,12881
Quick Sort Pivo Fixo,aleatorio,2010,204,0,24411,12737
Quick Sort Pivo Fixo,aleatorio,2020,168,0,22995,12687
Quick Sort Pivo Fixo,aleatorio,2030,217,0,24703,14166
Quick Sort Pivo Fixo,aleatorio,2040,173,0,23431,12939
Quick Sort Pivo Fixo,aleatorio,2050,166,0,26730,13067
Quick Sort Pivo Fixo,aleatorio,2060,213,0,24048,12329
Quick Sort Pivo Fixo,aleatorio,2070,224,0,28408,14998
Quick Sort Pivo Fixo,aleatorio,2080,174,0,24757,14919
Quick Sort Pivo Fixo,aleatorio,2090,231,0,25364,13714
Quick Sort Pivo Fixo,aleatorio,2100,178,0,25312,14847
Quick Sort Pivo Fixo,aleatorio,2110,191,0,28232,16022
Quick Sort Pivo Fixo,aleatorio,2120,229,0,26028,14088
Quick Sort Pivo Fixo,aleatorio,2130,215,0,27881,14512
Quick Sort Pivo Fixo,aleatorio,2140,182,0,24990,15451
Quick Sort Pivo Fixo,aleatorio,2150,243,0,28490,14866
Quick Sort Pivo Fixo,aleatorio,2160,241,0,27258,15409
Quick Sort Pivo Fixo,aleatorio,2170,233,0,25832,14354
Quick Sort Pivo Fixo,aleatorio,2180,186,0,26001,14332
Quick Sort Pivo Fixo,aleatorio,2190,184,0,26805,14269
Quick Sort Pivo Fixo,aleatorio,2200,188,0,29448,16817
Quick Sort Pivo Fixo,aleatorio,2210,185,0,27237,15741
Quick Sort Pivo Fixo,aleatorio,2220,238,0,26159,15046
Quick Sort Pivo Fixo,aleatorio,2230,203,0,31479,17848
Quick Sort Pivo Fixo,aleatorio,2240,244,0,28555,16051
Quick Sort Pivo Fixo,aleatorio,2250,258,0,27191,16514
Quick Sort Pivo Fixo,aleatorio,2260,300,0,29263,18146
Quick Sort Pivo Fixo,aleatorio,2270,195,0,27238,15528
Quick Sort Pivo Fixo,aleatorio,2280,259,0,26868,15134
Quick Sort Pivo Fixo,aleatorio,2290,234,0,28455,16876
Quick Sort Pivo Fixo,aleatorio,2300,240,0,30087,13846
Quick Sort Pivo Fixo,aleatorio,2310,228,0,29299,16696
Quick Sort Pivo Fixo,aleatorio,2320,256,0,29287,14812
Quick Sort Pivo Fixo,aleatorio,2330,260,0,31310,19430
Quick Sort Pivo Fixo,aleatorio,2340,201,0,30513,15739
Quick Sort Pivo Fixo,aleatorio,2350,269,0,30837,18151
Quick Sort Pivo Fixo,aleatorio,2360,200,0,29694,17551
Quick Sort Pivo Fixo,aleatorio,2370,205,0,28186,16844
Quick Sort Pivo Fixo,aleatorio,2380,201,0,29041,16307
Quick Sort Pivo Fixo,aleatorio,2390,261,0,30300,16454
Quick Sort Pivo Fixo,aleatorio,2400,213,0,30229,15420
Quick Sort Pivo Fixo,aleatorio,2410,257,0,28975,17449
Quick Sort Pivo Fixo,aleatorio,2420,266,0,30553,14861
Quick Sort Pivo Fixo,aleatorio,2430,255,0,28974,15221
Quick Sort Pivo Fixo,aleatorio,2440,262,0,29256,17145
Quick Sort Pivo Fixo,aleatorio,2450,269,0,32735,17373
Quick Sort Pivo Fixo,aleatorio,2460,268,0,30800,16197
Quick Sort Pivo Fixo,aleatorio,2470,264,0,32333,15597
Quick Sort Pivo Fixo,aleatorio,2480,274,0,32955,16635
Quick Sort Pivo Fixo,aleatorio,2490,282,0,31831,17342
Quick Sort Pivo Fixo,aleatorio,2500,284,0,32390,19408
Quick Sort Pivo Fixo,aleatorio,2510,222,0,32089,18107
Quick Sort Pivo Fixo,aleatorio,2520,222,0,33886,21282
Quick Sort Pivo Fixo,aleatorio,2530,219,0,30270,15379
Quick Sort Pivo Fixo,aleatorio,2540,224,0,32108,19613
Quick Sort Pivo Fixo,aleatorio,2550,287,0,31452,17512
Quick Sort Pivo Fixo,aleatorio,2560,287,0,32460,16234
Quick Sort Pivo Fixo,aleatorio,2570,231,0,33048,20296
Quick Sort Pivo Fixo,aleatorio,2580,223,0,32936,18775
Quick Sort Pivo Fixo,aleatorio,2590,278,0,32229,16079
Quick Sort Pivo Fixo,aleatorio,2600,275,0,29529,16056
Quick Sort Pivo Fixo,aleatorio,2610,289,0,35230,22511
Quick Sort Pivo Fixo,aleatorio,2620,245,0,38908,24496
Quick Sort Pivo Fixo,aleatorio,2630,295,0,33499,17826
